住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
シャインブライト学南,https://unilife.co.jp/view/700970,3.8万円,岡山県岡山市北区学南町2丁目5-12,"岡電バス「岡山大学筋」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩11分
ＪＲ山陽本線「西川原」駅 自転車10分(約2.2km)
ＪＲ山陽本線「岡山」駅 自転車10分(約2.2km)",2.0 km,1.9 km,1K／21m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 電気コンロ / 居室照明器具 / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応 / 駐輪場
北村スイード21,https://unilife.co.jp/view/1001218,3万円 ～ 4.7万円,岡山県岡山市北区富原3910,"岡電バス「イズミヤ前」停徒歩4分
ＪＲ津山線「法界院」駅 自転車17分(約4.1km)
ＪＲ吉備線「備前三門」駅 自転車17分(約4.1km)
ＪＲ津山線「備前原」駅 自転車26分(約6.2km)",5.0 km,2.1 km,1K／23m²～30m²／8帖～11.4帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / バルコニー / 収納 / インターフォン / エアコン,インターネット対応 / 駐車場(任意) / 駐輪場
ルマンジュ津高,https://unilife.co.jp/view/703127,3.9万円 ～ 4.1万円,岡山県岡山市北区津高400-2,"岡電バス「半田山ハイツ入口」停徒歩3分
ＪＲ津山線「法界院」駅 自転車15分(約3.6km)",4.8 km,1.9 km,1K／20.37m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / オートロック / 防犯カメラ / 駐車場(任意) / 駐輪場
LST Okadai South,https://unilife.co.jp/view/703342,5.6万円 ～ 6.2万円,岡山県岡山市北区津島新野1丁目2-6-2,"岡電バス「岡山大学筋」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩14分",2.1 km,1.7 km,1K／28.92m²／9帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 追焚き機能付バス / 温水洗浄便座 / IHコンロ(2口) / IHコンロ / フローリング / シューズケース / WINクローゼット / インターフォン（TVモニター付) / エアコン,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場
5thハイツナオイ,https://unilife.co.jp/view/703364,4.4万円 ～ 4.6万円,岡山県岡山市北区津島福居1丁目1-7,"岡電バス「福居入口」停　徒歩1分
ＪＲ津山線「法界院」駅 徒歩17分
ＪＲ山陽本線「岡山」駅 自転車13分(約3.1km)",2.8 km,1.8 km,1K／25m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / 防犯カメラ / 駐車場(任意) / 駐輪場
NEW OAK,https://unilife.co.jp/view/703560,5.6万円 ～ 6.8万円,岡山県岡山市北区学南町,ＪＲ津山線「法界院」駅 徒歩7分,2.1 km,2.1 km,1R～1LDK／30m²～45m²,セパレート（バス・トイレ） / 洗濯機置場(室内) / システムキッチン / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 駐車場(任意) / 駐輪場(原付可)
Visby,https://unilife.co.jp/view/703991,4.8万円 ～ 6万円,岡山県岡山市北区津島新野1丁目3-30,"バス「新野」停　徒歩2分
ＪＲ津山線「法界院」駅 徒歩15分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.5km)",2.0 km,1.6 km,1R／23.3m²～29.5m²／8.3帖～10.2帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 追焚き機能付バス / 温水洗浄便座 / ガスコンロ(2口) / システムキッチン / フローリング / ロフト / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 駐輪場
メゾン・ド・ツクラ,https://unilife.co.jp/view/1001268,2.1万円 ～ 3万円,岡山県岡山市北区津倉町2丁目10-7,"中鉄バス「津倉町」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩18分
ＪＲ津山線「岡山」駅 徒歩18分
ＪＲ吉備線「岡山」駅 徒歩18分",1.4 km,2.1 km,1K／19.65m²～20m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室外) / ガスコンロ(持込) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / エアコン,インターネット対応（無料） / 駐輪場
EMMA学南町,https://unilife.co.jp/view/2000118,5.3万円 ～ 5.7万円,岡山県岡山市北区学南町2丁目5-24,"岡電バス「岡山大学筋」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩9分
ＪＲ山陽本線「西川原」駅 自転車10分(約2.2km)
ＪＲ山陽本線「岡山」駅 自転車10分(約2.4km)",2.0 km,2.0 km,1K／34.02m²／10.8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,CATV / インターネット対応（無料） / オートロック / 駐輪場 / 駐車場(任意)
パラッツオ21,https://unilife.co.jp/view/702265,3.7万円 ～ 3.9万円,岡山県岡山市北区学南町1丁目1-21,"岡電バス「スポーツセンター前」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩13分",1.5 km,2.3 km,1K／22.95m²～25.07m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐車場(任意) / 駐輪場
プロムナード・ル・ソレイユ,https://unilife.co.jp/view/703337,5万円 ～ 5.6万円,岡山県岡山市北区学南町2丁目8-38-1,"岡電バス「岡大入口」停徒歩4分
ＪＲ津山線「法界院」駅 徒歩8分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.6km)",2.3 km,2.2 km,1K／24.91m²～29.81m²／6.3帖～7帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 追焚き機能付バス / ガスコンロ(1口) / ガスコンロ(2口) / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,インターネット対応（無料） / 防犯カメラ / 駐輪場
ラフィネ,https://unilife.co.jp/view/1001934,4万円 ～ 4.4万円,岡山県岡山市北区学南町3丁目7-19,"岡電バス「岡山大学筋」停徒歩7分
ＪＲ津山線「法界院」駅 徒歩6分
ＪＲ山陽本線「西川原」駅 自転車9分(約2.1km)
岡山電気軌道東山本線「柳川」駅 自転車11分(約2.6km)",2.3 km,2.3 km,1K／27.75m²／7.2帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / バルコニー / 収納 / シューズケース / エアコン,BSアンテナ / インターネット対応 / 駐輪場
サンステージ南方,https://unilife.co.jp/view/703010,4.6万円 ～ 4.9万円,岡山県岡山市北区南方４丁目6-14,ＪＲ津山線「法界院」駅 徒歩13分,1.6 km,2.5 km,1K／28.46m²～30.18m²／9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 暖房便座 / ガスコンロ(持込) / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応（無料） / オートロック / 宅配BOX / 駐輪場
ジュネスEMMA,https://unilife.co.jp/view/2000508,4.3万円 ～ 4.5万円,岡山県岡山市北区伊福町3丁目2-11,"バス「伊福町1丁目」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩13分
ＪＲ津山線「岡山」駅 徒歩13分
ＪＲ吉備線「岡山」駅 徒歩13分",750 m,2.4 km,1K／26.5m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / ガスコンロ(2口) / 居室照明器具 / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
シャインブライト北方,https://unilife.co.jp/view/700973,3.3万円 ～ 3.8万円,岡山県岡山市北区北方2丁目6-2,"岡電バス「植物園口」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分",3.2 km,3.3 km,1K／18.68m²／6帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応 / 駐輪場
サンステージ広瀬町,https://unilife.co.jp/view/702019,5.7万円 ～ 5.9万円,岡山県岡山市北区広瀬町2-10,"バス「長泉寺」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩16分
ＪＲ山陽本線「西川原」駅 自転車8分(約1.9km)
岡山電気軌道東山本線「柳川」駅 徒歩16分",1.5 km,2.9 km,1K／30.11m²／10帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 浴室乾燥機 / 追焚き機能付バス / 温水洗浄便座 / ガスコンロ(2口) / システムキッチン / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,インターネット対応（無料） / オートロック / 宅配BOX / 駐輪場
シャインブライト寿Ⅰ・Ⅱ,https://unilife.co.jp/view/1002047,3.8万円 ～ 4.3万円,岡山県岡山市北区寿町8-20,"岡電バス「奉還町」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩8分",550 m,2.6 km,1K／25.42m²～27m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 電気コンロ / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / エアコン,BSアンテナ / インターネット対応 / 駐車場(任意) / 駐輪場
FAMILLEミモザ,https://unilife.co.jp/view/2000506,6万円,岡山県岡山市北区富町2丁目9-7,ＪＲ山陽本線「岡山」駅 徒歩10分,800 m,2.8 km,2LDK／43m²～50m²／23帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応 / オートロック / 駐車場(任意) / 駐輪場(原付可)
ミルフォード定森Ⅰ,https://unilife.co.jp/view/701305,3.8万円 ～ 4万円,岡山県岡山市北区津島西坂2丁目6-3,ＪＲ吉備線「備前三門」駅 自転車11分(約2.6km),2.9 km,450 m,1K／25m²／7.7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 電気コンロ / バルコニー / シューズケース / 収納,インターネット対応（無料） / 駐輪場 / 駐車場(任意)
グランルームひまわり,https://unilife.co.jp/view/702416,3.7万円 ～ 4万円,岡山県岡山市北区津島西坂2丁目4-4,"岡電バス「明誠学院前」停徒歩1分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.5km)
ＪＲ津山線「法界院」駅 自転車10分(約2.3km)
ＪＲ山陽本線「岡山」駅 自転車13分(約3.0km)",2.7 km,450 m,1K／24.9m²～27.96m²／9.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / IHコンロ(1口) / フローリング / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐輪場
グリーンハイツ津島,https://unilife.co.jp/view/700999,5.9万円 ～ 6.4万円,岡山県岡山市北区津島西坂1丁目1-33,"岡電バス「西坂入口」停徒歩2分
ＪＲ吉備線「備前三門」駅 自転車11分(約2.5km)
ＪＲ津山線「法界院」駅 自転車9分(約2.2km)
ＪＲ山陽新幹線「岡山」駅 自転車12分(約2.8km)",2.5 km,600 m,2LDK／36.5m²～54.8m²,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 収納 / エアコン,BSアンテナ / インターネット対応（無料） / エレベーター / 駐車場(任意) / 駐輪場
クラフト津島,https://unilife.co.jp/view/701499,3万円 ～ 4.2万円,岡山県岡山市北区津島西坂2丁目10-25,"岡電バス「明誠学院前」停徒歩6分
ＪＲ津山線「法界院」駅 自転車9分(約2.2km)
ＪＲ吉備線「備前三門」駅 自転車11分(約2.6km)
ＪＲ山陽本線「岡山」駅 自転車12分(約2.9km)",2.6 km,750 m,1K／21.7m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐車場(任意) / 駐輪場
クレセール津島,https://unilife.co.jp/view/701669,4.7万円 ～ 6.3万円,岡山県岡山市北区津島南１丁目1-8,"バス「武道館口」停徒歩1分
ＪＲ津山線「法界院」駅 徒歩19分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.5km)
ＪＲ津山線「岡山」駅 自転車11分(約2.5km)",2.1 km,1.2 km,1K～1LDK／34.26m²～46.05m²／10.5帖～17.5帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / エアコン / オール電化(ガス無し),駐輪場 / バイク置場(任意)
プラゼール津島,https://unilife.co.jp/view/702221,4.7万円,岡山県岡山市北区津島本町5-10,"岡電バス「妙善寺」停徒歩5分
ＪＲ津山線「法界院」駅 自転車9分(約2.2km)
ＪＲ吉備線「備前三門」駅 自転車12分(約2.9km)
ＪＲ山陽新幹線「岡山」駅 自転車13分(約3.1km)",2.9 km,1.0 km,1K／30.69m²／9帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / ガスコンロ(1口) / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,駐車場(任意) / 駐輪場
カーサシエテ,https://unilife.co.jp/view/701986,4.35万円,岡山県岡山市北区津島南2丁目7-4,"岡電バス「津島新道」停徒歩5分
ＪＲ津山線「法界院」駅 自転車8分(約1.9km)
ＪＲ吉備線「備前三門」駅 自転車12分(約2.7km)
ＪＲ山陽新幹線「岡山」駅 自転車12分(約2.7km)",2.4 km,1.1 km,1K／29.81m²／9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / 駐車場(任意) / 駐輪場
アンソレイエ,https://unilife.co.jp/view/701494,4.8万円 ～ 5万円,岡山県岡山市北区津島福居1丁目12-16,"岡電バス「福居」停徒歩4分
ＪＲ津山線「法界院」駅 自転車9分(約2.0km)
ＪＲ山陽本線「西川原」駅 自転車16分(約3.7km)
ＪＲ山陽本線「岡山」駅 自転車16分(約3.7km)",3.2 km,1.7 km,1K／30m²／10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(持込) / フローリング / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 駐車場(任意) / 駐輪場
マ・メゾン津島福居,https://unilife.co.jp/view/702262,3.7万円 ～ 3.8万円,岡山県岡山市北区津島福居1丁目14-6,"岡電バス「福居2丁目」停徒歩2分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)
ＪＲ山陽本線「西川原」駅 自転車15分(約3.4km)
ＪＲ山陽新幹線「岡山」駅 自転車15分(約3.4km)",3.1 km,1.9 km,1K／23.18m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / 駐輪場
プレジィール京山,https://unilife.co.jp/view/1002650,2.5万円,岡山県岡山市北区京山1丁目13-7,"岡電バス「児童公園」停徒歩6分
ＪＲ吉備線「備前三門」駅 徒歩14分
ＪＲ山陽新幹線「岡山」駅 自転車9分(約2.1km)
ＪＲ山陽本線「岡山」駅 自転車9分(約2.1km)",1.9 km,2.0 km,1K／20m²／6帖～7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,駐輪場
オルセー・エマーリ,https://unilife.co.jp/view/701648,6.8万円 ～ 6.9万円,岡山県岡山市北区学南町１丁目5-12,"バス「岡山放送前」停徒歩1分
ＪＲ津山線「法界院」駅 徒歩11分
ＪＲ山陽本線「西川原」駅 自転車9分(約2.1km)
ＪＲ山陽本線「岡山」駅 自転車9分(約2.1km)",1.8 km,2.1 km,2DK／42.92m²／18.3帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / ガスコンロ(持込) / ガスコンロ(2口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / 駐輪場 / 駐車場(任意)
サンハイツ岡大Ⅱ,https://unilife.co.jp/view/701241,4.3万円 ～ 4.5万円,岡山県岡山市北区津島新野1丁目2-22,ＪＲ津山線「法界院」駅 徒歩14分,2.1 km,1.7 km,1K／24m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応（無料） / 駐輪場
伊福ビューアレイ,https://unilife.co.jp/view/700370,3.7万円 ～ 4万円,岡山県岡山市北区伊福町1丁目3-5,"岡電バス「済生会病院前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩8分",500 m,2.6 km,1K／20.09m²／7帖～10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(2口) / システムキッチン / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応（無料） / 駐輪場
プレアール清心,https://unilife.co.jp/view/701445,3.7万円 ～ 3.9万円,岡山県岡山市北区清心町359-11,"岡電バス「清心町」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩14分
ＪＲ津山線「岡山」駅 徒歩14分
ＪＲ吉備線「岡山」駅 徒歩14分",900 m,2.4 km,1K／21.2m²／6帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / フローリング / 収納 / エアコン,インターネット対応（無料） / 駐輪場
メゾンド・モネ,https://unilife.co.jp/view/701641,4万円,岡山県岡山市北区学南町2丁目6-66,"岡電バス「岡山大学前」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分
ＪＲ山陽本線「西川原」駅 自転車10分(約2.2km)
ＪＲ山陽新幹線「岡山」駅 自転車10分(約2.4km)",2.0 km,2.0 km,1K／20.28m²～23.18m²／6帖～7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 電気コンロ / バルコニー / 収納 / エアコン,インターネット対応（無料） / 駐輪場
will do岡山駅西口,https://unilife.co.jp/view/1004617,5.2万円 ～ 7.7万円,岡山県岡山市北区昭和町11-17,ＪＲ山陽本線「岡山」駅 徒歩9分,700 m,2.8 km,1R～1LDK／27.3m²～40.95m²／7.8帖～15.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(2口) / システムキッチン / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / オートロック / エレベーター / 駐輪場
クワィエット,https://unilife.co.jp/view/1004223,3.5万円 ～ 3.8万円,岡山県岡山市北区伊福町2丁目17-4,"岡電バス「清心町」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩12分
ＪＲ津山線「岡山」駅 徒歩10分
ＪＲ吉備線「岡山」駅 徒歩10分",900 m,2.3 km,1K／21m²／6.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / フローリング / バルコニー / 収納 / エアコン,インターネット対応 / 駐輪場
コーポユーカリ,https://unilife.co.jp/view/702162,3.3万円,岡山県岡山市北区清心町17-9,"岡電バス「清心町」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩15分
ＪＲ津山線「岡山」駅 徒歩15分
ＪＲ吉備線「岡山」駅 徒歩15分",1.0 km,2.3 km,1K／22m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / フローリング / 収納 / インターフォン（TVモニター付) / エアコン,駐輪場
セントラルパーク絵図町,https://unilife.co.jp/view/702792,4.8万円 ～ 5.2万円,岡山県岡山市北区絵図町4-22,"バス「野球場口」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩18分
ＪＲ津山線「岡山」駅 徒歩18分
ＪＲ吉備線「岡山」駅 徒歩18分",1.2 km,2.2 km,1K／23m²／8.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / エアコン,BSアンテナ / 防犯カメラ / エレベーター / 駐車場(任意) / 駐輪場
コーポ大陽津島,https://unilife.co.jp/view/702305,3万円 ～ 3.3万円,岡山県岡山市北区津島東3丁目4-10-3,"岡電バス「岡山理科大学」停徒歩5分
ＪＲ津山線「法界院」駅 徒歩15分
ＪＲ山陽本線「西川原」駅 自転車13分(約3.0km)
ＪＲ津山線「備前原」駅 自転車14分(約3.3km)",3.6 km,3.1 km,1K／23m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / エアコン,インターネット対応 / 駐輪場
エスペランサ21,https://unilife.co.jp/view/702270,4.5万円 ～ 5万円,岡山県岡山市北区大和町1丁目13-8,"岡電バス「御野校前」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分",2.0 km,2.7 km,1K／26m²～34.76m²／8.5帖～12.4帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応 / 駐車場(任意) / 駐輪場
ドミールTOMO,https://unilife.co.jp/view/702263,3.8万円 ～ 3.9万円,岡山県岡山市北区津島東3丁目1-12,"岡電バス「津島東3丁目」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩9分
ＪＲ山陽本線「西川原」駅 自転車11分(約2.5km)
ＪＲ津山線「備前原」駅 自転車12分(約2.8km)",3.2 km,3.0 km,1K／23.18m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 収納 / インターフォン / エアコン,BSアンテナ / 駐車場(任意) / 駐輪場
ラ・ビューニシ,https://unilife.co.jp/view/701979,4.1万円 ～ 4.6万円,岡山県岡山市北区奉還町2丁目12-12,"ＪＲ山陽本線「岡山」駅 徒歩10分
ＪＲ津山線「岡山」駅 徒歩10分
ＪＲ山陽新幹線「岡山」駅 徒歩10分",500 m,2.6 km,1K／23m²～26m²／7.1帖～9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,CATV / オートロック / 防犯カメラ / 駐輪場
フロンティア北方,https://unilife.co.jp/view/923464,4.7万円 ～ 5.3万円,岡山県岡山市北区北方1丁目81,ＪＲ津山線「法界院」駅 徒歩4分,2.6 km,3.1 km,1R～1K／27.4m²～32.6m²／8.5帖～13.2帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 小窓(出窓) / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応（無料） / オートロック / 駐輪場(原付可)
サクセス,https://unilife.co.jp/view/2000680,4.5万円 ～ 4.8万円,岡山県岡山市北区北方1丁目14-11,ＪＲ津山線「法界院」駅 徒歩7分,2.7 km,3.1 km,1K／23.18m²～26.49m²／7帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / 収納 / シューズケース / インターフォン / エアコン,駐車場(任意) / 駐輪場
リバージュ津島東,https://unilife.co.jp/view/11324,4.9万円 ～ 5.1万円,岡山県岡山市北区津島東4丁目8-12,"岡電バス「津島東3丁目」停　徒歩2分
ＪＲ津山線「法界院」駅 徒歩12分",3.5 km,2.8 km,1K／23.79m²／6.8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 追焚き機能付バス / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / インターネット対応 / オートロック / 宅配BOX / 駐輪場(原付可)
ルボン津島Ⅰ,https://unilife.co.jp/view/10298,4万円 ～ 4.2万円,岡山県岡山市北区津島東4丁目6-9-3,"岡電バス「津島東3丁目」停徒歩5分
ＪＲ津山線「法界院」駅 徒歩15分",3.7 km,2.7 km,1K／23.6m²～24.1m²／7.5帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / 収納 / エアコン,インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
